neighborhood,borough1,borough2,neighborhoods
Annadale,New York,Staten Island,"Annadale, Staten Island"
Arrochar,New York,Staten Island,"Arrochar, Staten Island"
Astoria,New York,Queens,"Astoria, Queens"
Auburndale,New York,Queens,"Auburndale, Queens"
Bath Beach,New York,Brooklyn,"Bath Beach, Brooklyn"
Bay Ridge,New York,Brooklyn,"Bay Ridge, Brooklyn"
Bay Terrace,New York,Staten Island,"Bay Terrace, Staten Island"
Baychester,New York,Bronx,"Baychester, Bronx"
Bayside,New York,Queens,"Bayside, Queens"
Bedford Park,New York,Bronx,"Bedford Park, Bronx"
Bedford Stuyvesant,New York,Brooklyn,"Bedford Stuyvesant, Brooklyn"
Bellerose,New York,Queens,"Bellerose, Queens"
Belmont,New York,Bronx,"Belmont, Bronx"
Bloomfield,New York,Staten Island,"Bloomfield, Staten Island"
Boerum Hill,New York,Brooklyn,"Boerum Hill, Brooklyn"
Borough Park,New York,Brooklyn,"Borough Park, Brooklyn"
Briarwood,New York,Queens,"Briarwood, Queens"
Bronx Park,New York,Bronx,"Bronx Park, Bronx"
Brooklyn Heights,New York,Brooklyn,"Brooklyn Heights, Brooklyn"
Bulls Head,New York,Staten Island,"Bulls Head, Staten Island"
Bushwick,New York,Brooklyn,"Bushwick, Brooklyn"
Canarsie,New York,Brooklyn,"Canarsie, Brooklyn"
Carnegie Hill,New York,Manhattan,"Carnegie Hill, Manhattan"
Carroll Gardens,New York,Brooklyn,"Carroll Gardens, Brooklyn"
Castleton Corners,New York,Staten Island,"Castleton Corners, Staten Island"
Central Park,New York,Manhattan,"Central Park, Manhattan"
Charleston,New York,Staten Island,"Charleston, Staten Island"
Chelsea-Travis,New York,Staten Island,"Chelsea-Travis, Staten Island"
Chelsea,New York,Manhattan,"Chelsea, Manhattan"
Chinatown,New York,Manhattan,"Chinatown, Manhattan"
City Island,New York,Bronx,"City Island, Bronx"
Clinton Hill,New York,Brooklyn,"Clinton Hill, Brooklyn"
Clinton,New York,Manhattan,"Clinton, Manhattan"
Clove Lake,New York,Staten Island,"Clove Lake, Staten Island"
Co-op City,New York,Bronx,"Co-op City, Bronx"
Cobble Hill,New York,Brooklyn,"Cobble Hill, Brooklyn"
Columbia Street Waterfront District,New York,Brooklyn,"Columbia Street Waterfront District, Brooklyn"
Columbus Circle,New York,Manhattan,"Columbus Circle, Manhattan"
Concourse,New York,Bronx,"Concourse, Bronx"
Corona,New York,Queens,"Corona, Queens"
Crown Heights,New York,Brooklyn,"Crown Heights, Brooklyn"
Dongan Hills,New York,Staten Island,"Dongan Hills, Staten Island"
Douglaston-Little Neck,New York,Queens,"Douglaston-Little Neck, Queens"
Downtown,New York,Brooklyn,"Downtown, Brooklyn"
DUMBO,New York,Brooklyn,"DUMBO, Brooklyn"
East Elmhurst,New York,Queens,"East Elmhurst, Queens"
East New York,New York,Brooklyn,"East New York, Brooklyn"
East Tremont,New York,Bronx,"East Tremont, Bronx"
East Village,New York,Manhattan,"East Village, Manhattan"
Eastchester,New York,Bronx,"Eastchester, Bronx"
Elmhurst,New York,Queens,"Elmhurst, Queens"
Eltingville,New York,Staten Island,"Eltingville, Staten Island"
Emerson Hill,New York,Staten Island,"Emerson Hill, Staten Island"
Fieldston,New York,Bronx,"Fieldston, Bronx"
Financial District,New York,Manhattan,"Financial District, Manhattan"
Flatbush,New York,Brooklyn,"Flatbush, Brooklyn"
Flatiron District,New York,Manhattan,"Flatiron District, Manhattan"
Floral park,New York,Queens,"Floral park, Queens"
Flushing Meadows Corona Park,New York,Queens,"Flushing Meadows Corona Park, Queens"
Flushing,New York,Queens,"Flushing, Queens"
Fordham,New York,Bronx,"Fordham, Bronx"
Forest Hills,New York,Queens,"Forest Hills, Queens"
Fort Greene,New York,Brooklyn,"Fort Greene, Brooklyn"
Fort Hamilton,New York,Brooklyn,"Fort Hamilton, Brooklyn"
Fresh Meadows,New York,Queens,"Fresh Meadows, Queens"
Garment District,New York,Manhattan,"Garment District, Manhattan"
Glen Oaks,New York,Queens,"Glen Oaks, Queens"
Gowanus,New York,Brooklyn,"Gowanus, Brooklyn"
Gramercy,New York,Manhattan,"Gramercy, Manhattan"
Grant City,New York,Staten Island,"Grant City, Staten Island"
Grasmere - Concord,New York,Staten Island,"Grasmere - Concord, Staten Island"
Gravesend,New York,Brooklyn,"Gravesend, Brooklyn"
Great Kills,New York,Staten Island,"Great Kills, Staten Island"
Greenpoint,New York,Brooklyn,"Greenpoint, Brooklyn"
Greenwich Village,New York,Manhattan,"Greenwich Village, Manhattan"
Grymes Hill,New York,Staten Island,"Grymes Hill, Staten Island"
Harlem,New York,Manhattan,"Harlem, Manhattan"
Heartland Village,New York,Staten Island,"Heartland Village, Staten Island"
High Bridge,New York,Bronx,"High Bridge, Bronx"
Hillcrest,New York,Queens,"Hillcrest, Queens"
Howard Beach,New York,Queens,"Howard Beach, Queens"
Hunters Point,New York,Queens,"Hunters Point, Queens"
Hunts Point,New York,Bronx,"Hunts Point, Bronx"
Jackson Heights,New York,Queens,"Jackson Heights, Queens"
Jamaica Estates,New York,Queens,"Jamaica Estates, Queens"
Jamaica,New York,Queens,"Jamaica, Queens"
Kew Gardens Hills,New York,Queens,"Kew Gardens Hills, Queens"
Kew Gardens,New York,Queens,"Kew Gardens, Queens"
Kingsbridge,New York,Bronx,"Kingsbridge, Bronx"
Laurelton,New York,Queens,"Laurelton, Queens"
Lighthouse Hill,New York,Staten Island,"Lighthouse Hill, Staten Island"
Little Italy,New York,Manhattan,"Little Italy, Manhattan"
